population size,number iterations,elitism fraction,crossover probability,mutation probability,inner mutation probability,score,weight
10,50,0.3,0,0.1,0.1,290.0,237.0
10,50,0.3,0,0.4,0.1,295.0,269.0
10,50,0.3,0,0.7,0.1,295.0,269.0
10,50,0.3,0,1,0.1,295.0,269.0
10,50,0.3,0.1,0,0.1,187.0,94.0
10,50,0.3,0.1,0.1,0.1,295.0,269.0
10,50,0.3,0.1,0.4,0.1,295.0,269.0
10,50,0.3,0.1,0.7,0.1,294.0,260.0
10,50,0.3,0.1,1,0.1,295.0,269.0
10,50,0.3,0.4,0,0.1,187.0,94.0
10,50,0.3,0.4,0.1,0.1,294.0,260.0
10,50,0.3,0.4,0.4,0.1,295.0,269.0
10,50,0.3,0.4,0.7,0.1,295.0,269.0
10,50,0.3,0.4,1,0.1,295.0,269.0
10,50,0.3,0.7,0,0.1,187.0,220.0
10,50,0.3,0.7,0.1,0.1,295.0,256.0
10,50,0.3,0.7,0.4,0.1,293.0,249.0
10,50,0.3,0.7,0.7,0.1,295.0,269.0
10,50,0.3,0.7,1,0.1,295.0,269.0
10,50,0.3,1,0,0.1,187.0,220.0
10,50,0.3,1,0.1,0.1,251.0,257.0
10,50,0.3,1,0.4,0.1,294.0,260.0
10,50,0.3,1,0.7,0.1,295.0,210.0
10,50,0.3,1,1,0.1,295.0,269.0
10,100,0.05,0,0,0.1,137.0,157.0
10,100,0.05,0,0.1,0.1,243.0,177.0
10,100,0.05,0,0.4,0.1,123.0,158.0
10,100,0.05,0,0.7,0.1,8.0,80.0
10,100,0.05,0,1,0.1,69.0,131.0
10,100,0.05,0.1,0,0.1,187.0,94.0
10,100,0.05,0.1,0.1,0.1,200.0,236.0
10,100,0.05,0.1,0.4,0.1,227.0,251.0
10,100,0.05,0.1,0.7,0.1,233.0,198.0
10,100,0.05,0.1,1,0.1,251.0,257.0
10,100,0.05,0.4,0,0.1,137.0,157.0
10,100,0.05,0.4,0.1,0.1,287.0,268.0
10,100,0.05,0.4,0.4,0.1,295.0,269.0
10,100,0.05,0.4,0.7,0.1,269.0,243.0
10,100,0.05,0.4,1,0.1,194.0,233.0
10,100,0.05,0.7,0,0.1,116.0,157.0
10,100,0.05,0.7,0.1,0.1,246.0,265.0
10,100,0.05,0.7,0.4,0.1,252.0,232.0
10,100,0.05,0.7,0.7,0.1,252.0,232.0
10,100,0.05,0.7,1,0.1,243.0,259.0
10,100,0.05,1,0,0.1,187.0,220.0
10,100,0.05,1,0.1,0.1,260.0,267.0
10,100,0.05,1,0.4,0.1,285.0,233.0
10,100,0.05,1,0.7,0.1,288.0,268.0
10,100,0.05,1,1,0.1,287.0,268.0
10,100,0.1,0,0,0.1,137.0,157.0
10,100,0.1,0,0.1,0.1,243.0,177.0
10,100,0.1,0,0.4,0.1,123.0,158.0
10,100,0.1,0,0.7,0.1,8.0,80.0
10,100,0.1,0,1,0.1,69.0,131.0
10,100,0.1,0.1,0,0.1,187.0,94.0
10,100,0.1,0.1,0.1,0.1,200.0,236.0
10,100,0.1,0.1,0.4,0.1,227.0,251.0
10,100,0.1,0.1,0.7,0.1,233.0,198.0
10,100,0.1,0.1,1,0.1,251.0,257.0
10,100,0.1,0.4,0,0.1,137.0,157.0
10,100,0.1,0.4,0.1,0.1,287.0,268.0
10,100,0.1,0.4,0.4,0.1,295.0,269.0
10,100,0.1,0.4,0.7,0.1,269.0,243.0
10,100,0.1,0.4,1,0.1,194.0,233.0
10,100,0.1,0.7,0,0.1,116.0,157.0
10,100,0.1,0.7,0.1,0.1,246.0,265.0
10,100,0.1,0.7,0.4,0.1,252.0,232.0
10,100,0.1,0.7,0.7,0.1,252.0,232.0
10,100,0.1,0.7,1,0.1,243.0,259.0
10,100,0.1,1,0,0.1,187.0,220.0
10,100,0.1,1,0.1,0.1,260.0,267.0
10,100,0.1,1,0.4,0.1,285.0,233.0
10,100,0.1,1,0.7,0.1,288.0,268.0
10,100,0.1,1,1,0.1,287.0,268.0
10,100,0.15,0,0,0.1,137.0,157.0
10,100,0.15,0,0.1,0.1,243.0,177.0
10,100,0.15,0,0.4,0.1,123.0,158.0
10,100,0.15,0,0.7,0.1,8.0,80.0
10,100,0.15,0,1,0.1,69.0,131.0
10,100,0.15,0.1,0,0.1,187.0,94.0
10,100,0.15,0.1,0.1,0.1,200.0,236.0
10,100,0.15,0.1,0.4,0.1,227.0,251.0
10,100,0.15,0.1,0.7,0.1,233.0,198.0
10,100,0.15,0.1,1,0.1,251.0,257.0
10,100,0.15,0.4,0,0.1,137.0,157.0
10,100,0.15,0.4,0.1,0.1,287.0,268.0
10,100,0.15,0.4,0.4,0.1,295.0,269.0
10,100,0.15,0.4,0.7,0.1,269.0,243.0
10,100,0.15,0.4,1,0.1,194.0,233.0
10,100,0.15,0.7,0,0.1,116.0,157.0
10,100,0.15,0.7,0.1,0.1,246.0,265.0
10,100,0.15,0.7,0.4,0.1,252.0,232.0
10,100,0.15,0.7,0.7,0.1,252.0,232.0
10,100,0.15,0.7,1,0.1,243.0,259.0
10,100,0.15,1,0,0.1,187.0,220.0
10,100,0.15,1,0.1,0.1,260.0,267.0
10,100,0.15,1,0.4,0.1,285.0,233.0
10,100,0.15,1,0.7,0.1,288.0,268.0
10,100,0.15,1,1,0.1,287.0,268.0
10,100,0.2,0,0,0.1,137.0,157.0
10,100,0.2,0,0.1,0.1,295.0,269.0
10,100,0.2,0,0.4,0.1,295.0,269.0
10,100,0.2,0,0.7,0.1,295.0,269.0
10,100,0.2,0,1,0.1,295.0,269.0
10,100,0.2,0.1,0,0.1,187.0,94.0
10,100,0.2,0.1,0.1,0.1,295.0,269.0
10,100,0.2,0.1,0.4,0.1,295.0,269.0
10,100,0.2,0.1,0.7,0.1,295.0,138.0
10,100,0.2,0.1,1,0.1,295.0,269.0
10,100,0.2,0.4,0,0.1,187.0,94.0
10,100,0.2,0.4,0.1,0.1,295.0,269.0
10,100,0.2,0.4,0.4,0.1,295.0,269.0
10,100,0.2,0.4,0.7,0.1,295.0,269.0
10,100,0.2,0.4,1,0.1,295.0,269.0
10,100,0.2,0.7,0,0.1,187.0,220.0
10,100,0.2,0.7,0.1,0.1,295.0,256.0
10,100,0.2,0.7,0.4,0.1,295.0,269.0
10,100,0.2,0.7,0.7,0.1,295.0,269.0
10,100,0.2,0.7,1,0.1,295.0,269.0
10,100,0.2,1,0,0.1,187.0,220.0
10,100,0.2,1,0.1,0.1,293.0,249.0
10,100,0.2,1,0.4,0.1,294.0,260.0
10,100,0.2,1,0.7,0.1,295.0,210.0
10,100,0.2,1,1,0.1,295.0,269.0
10,100,0.25,0,0,0.1,137.0,157.0
10,100,0.25,0,0.1,0.1,295.0,269.0
10,100,0.25,0,0.4,0.1,295.0,269.0
10,100,0.25,0,0.7,0.1,295.0,269.0
10,100,0.25,0,1,0.1,295.0,269.0
10,100,0.25,0.1,0,0.1,187.0,94.0
10,100,0.25,0.1,0.1,0.1,295.0,269.0
10,100,0.25,0.1,0.4,0.1,295.0,269.0
10,100,0.25,0.1,0.7,0.1,295.0,138.0
10,100,0.25,0.1,1,0.1,295.0,269.0
10,100,0.25,0.4,0,0.1,187.0,94.0
10,100,0.25,0.4,0.1,0.1,295.0,269.0
10,100,0.25,0.4,0.4,0.1,295.0,269.0
